region,sex,age,marst,educ,incwage
pacific division,male,44,never married/single,5+ years of college,50000
pacific division,male,29,never married/single,1 year of college,37000
pacific division,female,59,divorced,grade 12,0
pacific division,male,55,divorced,grade 12,40000
pacific division,female,28,never married/single,grade 12,49000
pacific division,male,57,divorced,grade 12,20000
pacific division,male,30,never married/single,grade 12,40000
pacific division,female,32,never married/single,4 years of college,0
pacific division,male,32,never married/single,2 years of college,25000
pacific division,female,38,"married, spouse present",4 years of college,78000
pacific division,male,35,"married, spouse present",4 years of college,11000
pacific division,female,36,"married, spouse present",4 years of college,50000
pacific division,male,34,"married, spouse present",grade 11,70000
pacific division,female,62,"married, spouse present",2 years of college,0
pacific division,male,64,"married, spouse present",grade 12,18000
pacific division,female,26,never married/single,1 year of college,30700
pacific division,male,54,"married, spouse present",5+ years of college,168000
pacific division,female,50,"married, spouse present",5+ years of college,221000
pacific division,female,19,never married/single,grade 11,0
pacific division,female,36,"married, spouse present",4 years of college,0
pacific division,male,46,"married, spouse present",5+ years of college,110000
pacific division,female,55,never married/single,grade 12,30000
pacific division,female,59,never married/single,grade 12,12000
pacific division,male,63,never married/single,2 years of college,40000
pacific division,male,58,"married, spouse absent",5+ years of college,16100
pacific division,male,39,"married, spouse present",5+ years of college,140000
pacific division,female,38,"married, spouse present",5+ years of college,0
pacific division,female,31,never married/single,grade 12,0
pacific division,male,31,divorced,4 years of college,55000
pacific division,male,53,"married, spouse present",4 years of college,72000
pacific division,female,51,"married, spouse present",5+ years of college,0
pacific division,female,51,"married, spouse present",5+ years of college,0
pacific division,male,55,"married, spouse present",5+ years of college,0
pacific division,male,61,never married/single,5+ years of college,200000
pacific division,male,64,"married, spouse present",4 years of college,50000
pacific division,female,63,"married, spouse present",4 years of college,80000
pacific division,male,56,never married/single,4 years of college,0
pacific division,female,34,never married/single,2 years of college,0
pacific division,female,61,divorced,4 years of college,38000
pacific division,female,36,never married/single,4 years of college,95000
pacific division,female,39,"married, spouse absent",4 years of college,0
pacific division,male,40,"married, spouse present",4 years of college,150000
pacific division,female,43,"married, spouse present",1 year of college,0
pacific division,male,18,never married/single,grade 11,0
pacific division,male,65,"married, spouse present",grade 12,0
pacific division,female,57,"married, spouse present",4 years of college,106000
pacific division,male,64,never married/single,grade 12,0
pacific division,female,51,never married/single,grade 12,60000
pacific division,male,59,divorced,"grade 5, 6, 7, or 8",33300
pacific division,male,46,"married, spouse present",1 year of college,80000
pacific division,female,48,"married, spouse present",1 year of college,40000
pacific division,female,26,never married/single,4 years of college,51000
pacific division,male,20,never married/single,1 year of college,2000
pacific division,female,29,never married/single,4 years of college,42000
pacific division,male,29,never married/single,1 year of college,45000
pacific division,female,27,never married/single,1 year of college,40000
pacific division,female,42,never married/single,grade 9,20000
pacific division,female,20,never married/single,1 year of college,1800
pacific division,male,18,never married/single,grade 10,0
pacific division,female,28,never married/single,1 year of college,70000
pacific division,female,33,never married/single,4 years of college,90000
pacific division,male,59,"married, spouse present",grade 12,79000
pacific division,female,57,"married, spouse present",grade 12,0
pacific division,male,28,never married/single,4 years of college,7500
pacific division,female,20,never married/single,grade 12,7000
pacific division,male,44,"married, spouse present",4 years of college,131000
pacific division,female,43,"married, spouse present",5+ years of college,30000
pacific division,female,32,"married, spouse present",4 years of college,46400
pacific division,male,37,"married, spouse present",4 years of college,65000
pacific division,male,39,"married, spouse present",4 years of college,32000
pacific division,female,35,"married, spouse present",4 years of college,9000
pacific division,female,59,"married, spouse present",5+ years of college,0
pacific division,male,58,"married, spouse present",4 years of college,200000
pacific division,female,39,never married/single,n/a or no schooling,150000
pacific division,male,39,"married, spouse present",grade 12,34200
pacific division,female,40,"married, spouse present",1 year of college,40000
pacific division,male,44,"married, spouse present",1 year of college,38000
pacific division,female,40,"married, spouse present",1 year of college,30000
pacific division,female,36,never married/single,4 years of college,105000
pacific division,female,34,never married/single,4 years of college,75000
pacific division,female,59,"married, spouse present",1 year of college,110000
pacific division,male,57,"married, spouse present",1 year of college,100000
pacific division,male,29,never married/single,4 years of college,60000
pacific division,male,61,"married, spouse absent",grade 12,30200
pacific division,male,37,"married, spouse absent",1 year of college,70000
pacific division,female,38,never married/single,5+ years of college,80000
pacific division,male,41,"married, spouse present",4 years of college,110000
pacific division,female,41,"married, spouse present",4 years of college,0
pacific division,male,31,never married/single,2 years of college,37000
pacific division,female,44,"married, spouse present",4 years of college,69000
pacific division,male,43,"married, spouse present",4 years of college,68000
pacific division,female,35,"married, spouse present",2 years of college,62000
pacific division,male,43,"married, spouse present",4 years of college,54000
pacific division,male,43,never married/single,grade 11,20000
pacific division,female,61,divorced,grade 12,47000
pacific division,male,33,"married, spouse present",grade 12,25000
pacific division,female,29,"married, spouse present",grade 12,25000
pacific division,female,64,"married, spouse absent",grade 12,12300
pacific division,female,31,"married, spouse present",5+ years of college,83000
pacific division,male,32,"married, spouse present",4 years of college,0
pacific division,female,46,"married, spouse present",5+ years of college,571000
pacific division,male,46,"married, spouse present",2 years of college,0
pacific division,male,58,"married, spouse present",5+ years of college,75000
pacific division,female,51,"married, spouse present",5+ years of college,70000
pacific division,female,24,never married/single,1 year of college,0
pacific division,male,41,never married/single,grade 12,8800
pacific division,female,49,divorced,grade 12,27000
pacific division,male,53,"married, spouse present",n/a or no schooling,46600
pacific division,male,50,"married, spouse present",1 year of college,0
pacific division,male,25,never married/single,4 years of college,8900
pacific division,female,18,never married/single,grade 12,3100
pacific division,male,41,never married/single,grade 12,25000
pacific division,female,62,widowed,n/a or no schooling,0
pacific division,male,34,"married, spouse present",grade 12,80000
pacific division,female,36,"married, spouse present",5+ years of college,65000
pacific division,male,36,"married, spouse present",grade 12,60000
pacific division,female,32,"married, spouse present",grade 12,15600
pacific division,male,39,never married/single,"grade 5, 6, 7, or 8",28800
pacific division,female,34,never married/single,grade 12,0
pacific division,male,28,divorced,1 year of college,60000
pacific division,male,57,never married/single,grade 12,24000
pacific division,male,45,"married, spouse present",4 years of college,98000
pacific division,female,44,"married, spouse present",4 years of college,0
pacific division,female,55,never married/single,5+ years of college,83000
pacific division,male,54,never married/single,grade 12,0
pacific division,female,56,"married, spouse present",4 years of college,100000
pacific division,male,59,"married, spouse present",4 years of college,120000
pacific division,female,51,divorced,grade 12,30000
pacific division,male,27,never married/single,grade 12,0
pacific division,female,29,never married/single,1 year of college,0
pacific division,male,64,never married/single,2 years of college,0
pacific division,female,47,divorced,4 years of college,70000
pacific division,female,28,never married/single,2 years of college,31000
pacific division,male,28,never married/single,1 year of college,22000
pacific division,male,50,"married, spouse present",5+ years of college,190000
pacific division,female,46,"married, spouse present",4 years of college,0
pacific division,female,30,"married, spouse present",4 years of college,30000
pacific division,male,39,"married, spouse present",2 years of college,100000
pacific division,female,45,never married/single,4 years of college,120000
pacific division,female,60,"married, spouse present",4 years of college,107000
pacific division,female,59,never married/single,2 years of college,0
pacific division,male,63,"married, spouse present",2 years of college,5000
pacific division,female,18,never married/single,grade 11,0
pacific division,male,35,"married, spouse present",5+ years of college,80000
pacific division,female,34,"married, spouse present",5+ years of college,5000
pacific division,male,30,never married/single,2 years of college,0
pacific division,female,60,"married, spouse present",4 years of college,2000
pacific division,male,61,"married, spouse present",grade 12,110000
pacific division,male,57,"married, spouse present",4 years of college,1100
pacific division,male,46,"married, spouse present",4 years of college,55000
pacific division,female,42,"married, spouse present",5+ years of college,80000
pacific division,female,25,never married/single,4 years of college,24000
pacific division,female,22,never married/single,1 year of college,21000
pacific division,male,51,never married/single,1 year of college,0
pacific division,male,38,never married/single,2 years of college,50000
pacific division,female,64,"married, spouse present",n/a or no schooling,0
pacific division,female,28,never married/single,1 year of college,19000
pacific division,female,26,never married/single,4 years of college,27000
pacific division,male,43,never married/single,4 years of college,20000
pacific division,female,53,"married, spouse present",5+ years of college,150000
pacific division,male,44,"married, spouse present",5+ years of college,0
pacific division,male,38,"married, spouse present",4 years of college,90000
pacific division,female,33,"married, spouse present",4 years of college,0
pacific division,male,53,never married/single,5+ years of college,200000
pacific division,male,65,divorced,1 year of college,42000
pacific division,male,37,"married, spouse present",grade 12,45000
pacific division,female,39,"married, spouse present",1 year of college,30000
pacific division,female,58,"married, spouse present",4 years of college,0
pacific division,female,34,"married, spouse present",grade 11,100000
pacific division,male,36,"married, spouse present",1 year of college,35000
pacific division,male,33,"married, spouse present",4 years of college,150000
pacific division,female,31,"married, spouse present",4 years of college,13800
pacific division,male,34,"married, spouse present",4 years of college,70000
pacific division,female,30,"married, spouse present",grade 12,0
pacific division,male,37,"married, spouse present",4 years of college,223000
pacific division,female,34,"married, spouse present",4 years of college,0
pacific division,male,36,"married, spouse present",1 year of college,48000
pacific division,female,34,"married, spouse present",1 year of college,19200
pacific division,female,61,separated,grade 10,0
pacific division,female,61,widowed,4 years of college,0
pacific division,male,27,never married/single,grade 12,10000
pacific division,male,23,never married/single,grade 12,5000
pacific division,female,48,"married, spouse present",5+ years of college,54000
pacific division,male,49,"married, spouse present",4 years of college,0
pacific division,female,18,never married/single,grade 11,3000
pacific division,male,47,never married/single,1 year of college,0
pacific division,female,45,never married/single,4 years of college,0
pacific division,female,43,"married, spouse present",4 years of college,67000
pacific division,male,43,"married, spouse present",4 years of college,68000
pacific division,female,31,never married/single,grade 12,0
pacific division,male,40,never married/single,grade 12,400
pacific division,female,50,"married, spouse present",2 years of college,0
pacific division,male,52,"married, spouse present",2 years of college,32000
pacific division,female,28,never married/single,4 years of college,64000
pacific division,male,27,never married/single,2 years of college,4000
pacific division,male,65,"married, spouse present",4 years of college,120000
pacific division,female,58,"married, spouse present",4 years of college,0
pacific division,male,56,"married, spouse present",1 year of college,19500
pacific division,male,18,never married/single,grade 10,0
pacific division,male,49,divorced,grade 12,0
pacific division,female,49,"married, spouse present",5+ years of college,0
pacific division,male,41,"married, spouse present",4 years of college,0
pacific division,male,29,never married/single,4 years of college,0
pacific division,male,38,"married, spouse present",4 years of college,320000
pacific division,female,37,"married, spouse present",4 years of college,40000
pacific division,male,59,divorced,grade 12,0
pacific division,female,46,"married, spouse present",grade 12,0
pacific division,male,53,"married, spouse present",1 year of college,100000
pacific division,male,19,never married/single,grade 12,0
pacific division,female,39,never married/single,4 years of college,155000
pacific division,male,54,"married, spouse present",grade 12,65000
pacific division,female,53,"married, spouse present",5+ years of college,95000
pacific division,male,36,"married, spouse present",4 years of college,89000
pacific division,female,35,"married, spouse present",4 years of college,77000
pacific division,male,42,never married/single,grade 12,30400
pacific division,male,55,"married, spouse present",grade 12,85000
pacific division,female,53,"married, spouse present",grade 12,104000
pacific division,male,24,never married/single,grade 12,28000
pacific division,male,23,never married/single,grade 12,15000
pacific division,male,31,"married, spouse present",4 years of college,135000
pacific division,female,33,"married, spouse present",4 years of college,155000
pacific division,male,59,"married, spouse present",5+ years of college,181000
pacific division,female,54,"married, spouse present",grade 12,0
pacific division,male,45,"married, spouse present",grade 11,0
pacific division,female,47,"married, spouse present",grade 9,0
pacific division,male,20,never married/single,1 year of college,0
pacific division,female,40,"married, spouse present",grade 12,75000
pacific division,male,39,"married, spouse present",grade 12,120000
pacific division,female,20,never married/single,1 year of college,12000
pacific division,female,39,never married/single,grade 12,0
pacific division,male,33,divorced,grade 12,65000
pacific division,male,60,never married/single,1 year of college,0
pacific division,female,63,never married/single,1 year of college,0
pacific division,male,25,never married/single,n/a or no schooling,0
pacific division,male,62,never married/single,1 year of college,110000
pacific division,female,59,never married/single,1 year of college,65000
pacific division,male,26,"married, spouse present",4 years of college,100000
pacific division,female,32,"married, spouse present",2 years of college,0
pacific division,female,38,never married/single,5+ years of college,100000
pacific division,male,41,never married/single,4 years of college,75000
pacific division,male,37,"married, spouse present",n/a or no schooling,29000
pacific division,female,26,"married, spouse present",n/a or no schooling,23300
pacific division,female,54,never married/single,1 year of college,88000
pacific division,female,50,"married, spouse absent",grade 12,100000
pacific division,female,26,never married/single,grade 12,16000
pacific division,male,45,divorced,grade 12,0
pacific division,male,40,"married, spouse present",2 years of college,53000
pacific division,female,37,"married, spouse present",5+ years of college,25800
pacific division,female,58,"married, spouse present",5+ years of college,167000
pacific division,male,57,"married, spouse present",5+ years of college,230000
pacific division,female,26,never married/single,5+ years of college,38000
pacific division,female,31,"married, spouse present",4 years of college,250000
pacific division,male,33,"married, spouse present",4 years of college,35600
pacific division,male,61,"married, spouse present",5+ years of college,150000
pacific division,female,53,"married, spouse present",4 years of college,69000
pacific division,male,20,never married/single,grade 12,4500
pacific division,female,53,never married/single,4 years of college,150000
pacific division,male,57,"married, spouse present",5+ years of college,208000
pacific division,female,58,"married, spouse present",4 years of college,88000
pacific division,male,21,never married/single,grade 12,5000
pacific division,male,20,never married/single,grade 12,3000
pacific division,male,63,divorced,4 years of college,29000
pacific division,female,50,never married/single,2 years of college,47000
pacific division,female,35,never married/single,grade 12,0
pacific division,male,31,never married/single,4 years of college,22000
pacific division,male,39,"married, spouse present",4 years of college,80000
pacific division,female,43,"married, spouse present",4 years of college,130000
pacific division,male,44,never married/single,5+ years of college,80000
pacific division,female,61,divorced,4 years of college,25000
pacific division,male,18,never married/single,grade 12,0
pacific division,female,42,never married/single,grade 10,16000
pacific division,male,63,divorced,1 year of college,38900
pacific division,female,52,widowed,"grade 5, 6, 7, or 8",32000
pacific division,female,30,never married/single,4 years of college,41000
pacific division,male,25,never married/single,4 years of college,0
pacific division,male,39,"married, spouse present","grade 5, 6, 7, or 8",25000
pacific division,female,40,"married, spouse present",grade 12,23000
pacific division,male,29,never married/single,4 years of college,39900
pacific division,female,26,never married/single,5+ years of college,750
pacific division,male,51,"married, spouse present",4 years of college,90000
pacific division,female,48,"married, spouse present",4 years of college,0
pacific division,male,58,separated,1 year of college,100000
pacific division,female,58,divorced,grade 12,6500
pacific division,female,64,"married, spouse present","grade 5, 6, 7, or 8",8400
pacific division,male,22,never married/single,grade 12,5900
pacific division,female,43,never married/single,1 year of college,7000
pacific division,female,24,never married/single,grade 12,11200
pacific division,female,52,divorced,grade 12,14000
pacific division,male,51,"married, spouse absent",5+ years of college,240000
pacific division,male,29,"married, spouse present",grade 10,10000
pacific division,female,29,"married, spouse present",n/a or no schooling,0
pacific division,male,50,"married, spouse present",grade 12,79000
pacific division,female,52,"married, spouse present",grade 12,40000
pacific division,male,59,"married, spouse present",1 year of college,0
pacific division,female,51,"married, spouse present",grade 12,17000
pacific division,male,22,never married/single,grade 12,14400
pacific division,female,47,"married, spouse present",grade 12,12500
pacific division,male,54,"married, spouse present",grade 9,40000
pacific division,male,27,divorced,grade 12,30000
pacific division,female,22,never married/single,1 year of college,7500
pacific division,male,57,"married, spouse present",grade 12,38000
pacific division,female,52,"married, spouse present",n/a or no schooling,10000
pacific division,female,35,"married, spouse present",4 years of college,0
pacific division,male,36,"married, spouse present",2 years of college,115000
pacific division,male,63,"married, spouse present",5+ years of college,42000
pacific division,female,63,"married, spouse present",4 years of college,180000
pacific division,female,60,"married, spouse present",2 years of college,0
pacific division,male,64,"married, spouse present",4 years of college,22800
pacific division,female,49,"married, spouse present",5+ years of college,83000
pacific division,male,45,"married, spouse present",grade 12,40000
pacific division,female,62,divorced,4 years of college,10500
pacific division,male,52,never married/single,grade 12,0
pacific division,male,61,divorced,grade 12,0
pacific division,female,28,never married/single,1 year of college,23000
pacific division,male,28,never married/single,5+ years of college,75000
pacific division,male,30,never married/single,4 years of college,100000
pacific division,female,63,"married, spouse present",2 years of college,0
pacific division,male,61,never married/single,grade 12,38000
pacific division,female,22,never married/single,1 year of college,30000
pacific division,male,20,never married/single,2 years of college,6700
pacific division,female,19,never married/single,1 year of college,0
pacific division,female,58,never married/single,1 year of college,221000
pacific division,male,51,"married, spouse present",4 years of college,0
pacific division,female,52,"married, spouse present",5+ years of college,571000
pacific division,male,57,"married, spouse present",4 years of college,200000
pacific division,female,56,"married, spouse present",1 year of college,50000
pacific division,female,23,never married/single,grade 12,0
pacific division,female,63,divorced,1 year of college,54000
pacific division,male,61,divorced,grade 12,22000
pacific division,male,33,never married/single,4 years of college,16000
pacific division,male,55,never married/single,5+ years of college,126000
pacific division,male,31,never married/single,4 years of college,93000
pacific division,male,62,"married, spouse present",n/a or no schooling,18200
pacific division,female,60,"married, spouse present",grade 12,42100
pacific division,male,25,never married/single,grade 12,0
mountain division,female,19,never married/single,grade 12,4000
mountain division,male,27,never married/single,grade 9,0
mountain division,female,21,never married/single,1 year of college,0
mountain division,female,26,never married/single,1 year of college,10500
mountain division,male,20,never married/single,1 year of college,5000
mountain division,male,19,never married/single,grade 12,0
mountain division,male,30,never married/single,4 years of college,17500
mountain division,male,40,"married, spouse absent",grade 12,0
mountain division,female,21,never married/single,1 year of college,8000
mountain division,female,20,never married/single,grade 12,0
mountain division,female,62,widowed,grade 12,0
mountain division,male,33,widowed,grade 12,0
mountain division,male,21,never married/single,grade 12,0
mountain division,male,30,never married/single,grade 12,0
mountain division,male,32,never married/single,4 years of college,58000
mountain division,male,21,never married/single,1 year of college,7000
mountain division,female,20,never married/single,grade 12,0
mountain division,male,25,never married/single,grade 12,25000
mountain division,female,21,never married/single,1 year of college,3000
mountain division,male,59,divorced,grade 12,0
mountain division,male,21,never married/single,1 year of college,3200
mountain division,male,21,never married/single,grade 12,20000
mountain division,male,60,divorced,grade 12,0
mountain division,female,20,never married/single,grade 10,2400
mountain division,female,19,never married/single,grade 12,0
mountain division,female,65,never married/single,4 years of college,0
mountain division,female,65,divorced,2 years of college,0
mountain division,male,30,never married/single,4 years of college,17500
mountain division,female,19,never married/single,grade 12,4000
mountain division,male,26,"married, spouse absent",grade 12,0
mountain division,female,44,"married, spouse present",2 years of college,30000
mountain division,male,42,"married, spouse present",2 years of college,130000
mountain division,female,39,divorced,grade 12,40000
mountain division,male,60,"married, spouse present",grade 12,13500
mountain division,female,59,"married, spouse present",grade 12,1800
mountain division,female,38,never married/single,4 years of college,40000
mountain division,male,35,never married/single,grade 12,24000
mountain division,female,44,divorced,grade 12,50000
mountain division,female,36,"married, spouse present",grade 12,0
mountain division,male,41,"married, spouse present",n/a or no schooling,14000
mountain division,female,57,"married, spouse present",5+ years of college,89000
mountain division,female,59,"married, spouse present",5+ years of college,52000
mountain division,male,39,never married/single,grade 12,25000
mountain division,male,30,never married/single,4 years of college,34000
mountain division,male,24,never married/single,1 year of college,55000
mountain division,female,57,"married, spouse present",grade 12,45000
mountain division,male,61,"married, spouse present",4 years of college,38000
mountain division,male,33,"married, spouse present",4 years of college,74000
mountain division,female,33,"married, spouse present",4 years of college,0
mountain division,female,58,"married, spouse present",4 years of college,0
mountain division,male,57,"married, spouse present",1 year of college,0
mountain division,male,40,"married, spouse absent",5+ years of college,36000
mountain division,female,39,never married/single,grade 12,50000
mountain division,female,39,never married/single,5+ years of college,55000
mountain division,male,61,divorced,4 years of college,112000
mountain division,female,51,divorced,grade 12,10000
mountain division,male,27,never married/single,4 years of college,52000
mountain division,male,30,"married, spouse present",grade 12,0
mountain division,female,27,"married, spouse present",grade 12,0
mountain division,female,51,"married, spouse present",5+ years of college,150000
mountain division,male,52,"married, spouse present",grade 12,150000
mountain division,male,61,separated,4 years of college,30000
mountain division,female,57,"married, spouse present",2 years of college,66000
mountain division,male,63,"married, spouse present",grade 12,49900
mountain division,male,28,never married/single,grade 12,7500
mountain division,male,43,"married, spouse present",5+ years of college,490000
mountain division,female,41,"married, spouse present",5+ years of college,120000
mountain division,male,33,"married, spouse present",grade 12,90000
mountain division,female,33,"married, spouse present",n/a or no schooling,54000
mountain division,female,40,"married, spouse present",5+ years of college,5000
mountain division,male,41,"married, spouse present",2 years of college,0
mountain division,female,56,never married/single,grade 12,55000
mountain division,female,51,"married, spouse present",5+ years of college,70000
mountain division,male,62,"married, spouse present",grade 12,15000
mountain division,female,54,divorced,grade 12,0
mountain division,male,49,"married, spouse present",4 years of college,45000
mountain division,female,44,"married, spouse present",5+ years of college,97000
mountain division,female,19,"married, spouse absent",n/a or no schooling,3000
mountain division,female,32,never married/single,1 year of college,65000
mountain division,male,38,"married, spouse present",4 years of college,73000
mountain division,female,35,"married, spouse present",5+ years of college,48000
mountain division,female,49,"married, spouse present",4 years of college,110000
mountain division,male,49,"married, spouse present",4 years of college,490000
mountain division,male,36,widowed,5+ years of college,70000
mountain division,male,52,never married/single,1 year of college,38400
mountain division,female,34,"married, spouse present",5+ years of college,63000
mountain division,male,35,"married, spouse present",4 years of college,65000
mountain division,female,39,divorced,5+ years of college,75000
mountain division,male,30,never married/single,1 year of college,20000
mountain division,female,49,"married, spouse present",4 years of college,30000
mountain division,male,51,"married, spouse present",4 years of college,75000
mountain division,female,29,divorced,4 years of college,85000
mountain division,male,31,never married/single,4 years of college,170000
mountain division,male,48,"married, spouse present",2 years of college,14000
mountain division,female,32,"married, spouse present",1 year of college,3000
mountain division,male,22,never married/single,grade 12,15000
mountain division,male,37,"married, spouse present",5+ years of college,60000
mountain division,female,37,"married, spouse present",4 years of college,10000
mountain division,male,63,"married, spouse present",1 year of college,49000
mountain division,female,63,"married, spouse present",1 year of college,0
mountain division,female,43,divorced,2 years of college,50000
mountain division,male,39,widowed,grade 12,10000
mountain division,male,49,"married, spouse present",grade 12,55000
mountain division,female,48,"married, spouse present",grade 12,55000
mountain division,male,26,never married/single,grade 12,26000
mountain division,female,22,never married/single,grade 12,0
mountain division,female,58,"married, spouse absent",4 years of college,120000
mountain division,female,42,"married, spouse present",4 years of college,8000
mountain division,male,38,"married, spouse present",4 years of college,65000
mountain division,male,35,"married, spouse present",5+ years of college,135000
mountain division,female,35,"married, spouse present",4 years of college,500
mountain division,female,46,divorced,1 year of college,0
mountain division,male,44,divorced,grade 12,110000
mountain division,female,29,"married, spouse present",grade 12,25000
mountain division,male,31,"married, spouse present",1 year of college,60000
mountain division,female,55,divorced,4 years of college,95000
mountain division,female,35,never married/single,grade 10,6700
mountain division,female,26,never married/single,grade 12,27000
mountain division,female,35,"married, spouse present",1 year of college,24000
mountain division,male,36,"married, spouse present",grade 12,75000
mountain division,female,59,"married, spouse present",4 years of college,5300
mountain division,male,57,"married, spouse present",grade 12,0
mountain division,female,33,never married/single,grade 12,3800
mountain division,female,55,"married, spouse present",4 years of college,0
mountain division,male,57,"married, spouse present",grade 12,200000
mountain division,male,39,never married/single,4 years of college,26700
mountain division,female,58,divorced,2 years of college,20200
mountain division,male,33,"married, spouse present",5+ years of college,0
mountain division,female,22,"married, spouse present",grade 12,5100
mountain division,male,23,never married/single,grade 12,15000
mountain division,female,42,"married, spouse present",2 years of college,13000
mountain division,male,40,"married, spouse present",grade 12,100000
mountain division,female,65,"married, spouse present",4 years of college,0
mountain division,male,55,never married/single,1 year of college,7500
mountain division,female,31,"married, spouse present",4 years of college,85000
mountain division,male,30,"married, spouse present",4 years of college,100000
mountain division,female,32,never married/single,5+ years of college,95000
mountain division,male,32,never married/single,5+ years of college,132000
mountain division,male,21,never married/single,grade 12,0
mountain division,male,61,"married, spouse absent",5+ years of college,10500
mountain division,male,41,never married/single,4 years of college,76000
mountain division,male,37,divorced,4 years of college,45000
mountain division,female,31,never married/single,1 year of college,45000
mountain division,male,59,never married/single,4 years of college,0
mountain division,female,43,divorced,grade 12,52000
mountain division,female,19,never married/single,grade 12,0
mountain division,male,50,"married, spouse present",5+ years of college,490000
mountain division,female,40,"married, spouse present",1 year of college,5900
mountain division,male,57,"married, spouse present",5+ years of college,120000
mountain division,female,59,"married, spouse present",4 years of college,15000
mountain division,male,40,never married/single,4 years of college,110000
mountain division,female,60,never married/single,grade 12,120000
mountain division,male,36,"married, spouse present",2 years of college,70000
mountain division,female,40,"married, spouse present",4 years of college,57000
mountain division,male,52,"married, spouse present",4 years of college,90000
mountain division,female,51,"married, spouse present",4 years of college,80000
mountain division,female,51,"married, spouse present",5+ years of college,150000
mountain division,male,52,"married, spouse present",4 years of college,100000
mountain division,female,19,never married/single,grade 12,0
mountain division,female,51,divorced,2 years of college,0
mountain division,female,28,"married, spouse present",grade 12,0
mountain division,male,31,"married, spouse present",4 years of college,54000
mountain division,male,27,never married/single,grade 12,29000
mountain division,female,25,never married/single,grade 12,0
mountain division,male,52,"married, spouse present",4 years of college,26000
mountain division,female,50,"married, spouse present",4 years of college,0
mountain division,female,58,widowed,grade 12,0
mountain division,male,55,"married, spouse present",grade 12,0
mountain division,female,58,"married, spouse present",grade 12,5000
mountain division,male,44,divorced,grade 12,50000
mountain division,male,20,never married/single,grade 12,0
mountain division,female,65,"married, spouse present",grade 12,22100
mountain division,male,65,"married, spouse present",grade 12,0
mountain division,male,59,divorced,4 years of college,50000
mountain division,male,63,"married, spouse present",2 years of college,50000
mountain division,female,59,"married, spouse present",1 year of college,0
mountain division,male,25,never married/single,grade 12,29000
mountain division,female,49,"married, spouse present",4 years of college,120000
mountain division,male,47,"married, spouse present",4 years of college,0
mountain division,female,18,never married/single,grade 10,10000
mountain division,male,20,never married/single,1 year of college,1000
mountain division,male,20,never married/single,1 year of college,1500
mountain division,male,20,never married/single,1 year of college,10000
mountain division,male,38,"married, spouse present",5+ years of college,110000
mountain division,female,34,"married, spouse present",1 year of college,0
mountain division,female,29,never married/single,grade 12,20800
mountain division,male,39,"married, spouse present","grade 5, 6, 7, or 8",18000
mountain division,female,33,"married, spouse present","grade 5, 6, 7, or 8",0
mountain division,female,45,never married/single,5+ years of college,56000
mountain division,male,37,never married/single,2 years of college,20000
mountain division,female,39,"married, spouse present",4 years of college,85000
mountain division,male,48,"married, spouse present",grade 12,70000
mountain division,male,60,"married, spouse present",5+ years of college,140000
mountain division,female,55,"married, spouse present",1 year of college,0
mountain division,female,22,never married/single,1 year of college,10000
mountain division,male,22,never married/single,1 year of college,0
mountain division,male,20,never married/single,1 year of college,15000
mountain division,female,19,never married/single,grade 11,0
mountain division,male,55,"married, spouse present",4 years of college,150000
mountain division,female,58,"married, spouse present",1 year of college,40000
mountain division,female,36,"married, spouse present",1 year of college,36000
mountain division,male,32,"married, spouse present",grade 12,37000
mountain division,female,47,"married, spouse present",5+ years of college,72000
mountain division,male,43,"married, spouse present",4 years of college,46000
mountain division,female,41,"married, spouse present",4 years of college,165000
mountain division,male,43,"married, spouse present",4 years of college,0
mountain division,female,62,"married, spouse present",4 years of college,0
mountain division,female,65,"married, spouse present",1 year of college,28800
mountain division,male,28,"married, spouse present",grade 12,60000
mountain division,female,28,"married, spouse present",2 years of college,0
mountain division,female,39,divorced,grade 12,14400
mountain division,male,46,never married/single,grade 12,0
mountain division,female,18,never married/single,grade 12,8000
mountain division,female,47,"married, spouse present",grade 12,0
mountain division,male,26,"married, spouse present",grade 12,36000
mountain division,female,26,never married/single,grade 12,7000
mountain division,female,29,never married/single,2 years of college,21000
mountain division,male,31,never married/single,grade 12,34300
mountain division,male,43,never married/single,grade 12,43000
mountain division,female,30,divorced,grade 12,0
mountain division,female,64,divorced,grade 12,26000
mountain division,female,28,"married, spouse present",1 year of college,2000
mountain division,male,31,"married, spouse present",1 year of college,60000
mountain division,female,28,"married, spouse present",1 year of college,55000
mountain division,male,31,"married, spouse present",1 year of college,145000
mountain division,male,45,"married, spouse present",4 years of college,36000
mountain division,female,43,"married, spouse present",1 year of college,25600
mountain division,male,62,"married, spouse present",grade 12,65000
mountain division,female,62,"married, spouse present",grade 12,42000
mountain division,male,45,"married, spouse present",5+ years of college,190000
mountain division,female,50,"married, spouse present",4 years of college,28000
mountain division,male,48,divorced,4 years of college,80000
mountain division,male,29,"married, spouse present",grade 12,0
mountain division,female,29,"married, spouse present",1 year of college,0
mountain division,female,31,never married/single,4 years of college,70000
mountain division,male,34,divorced,1 year of college,31000
mountain division,female,47,divorced,grade 12,42000
mountain division,female,61,"married, spouse present",grade 12,168000
mountain division,female,64,divorced,grade 12,25000
mountain division,female,33,"married, spouse present",2 years of college,26000
mountain division,male,37,"married, spouse present",4 years of college,0
mountain division,male,54,"married, spouse present",4 years of college,169000
